,state,gender,avg_fam_income,pobc2,avggift,domain,target_d,med_home_val_transformed
53,Cali,Male,485.0,38,15,S2,21.0,0.704112349237978
54,NC,U,382.0,66,12,C2,15.0,-0.3088818335551389
55,TX,Female,444.0,50,26,U1,41.0,0.3927748604533181
56,LA,Male,337.0,52,15,T2,20.0,-0.4925223226755438
57,Cali,Female,376.0,48,13,S2,5.0,0.5820933409306237
58,LA,Female,538.0,64,5,T1,16.0,0.212541153208239
59,IA,Female,329.0,76,15,R2,15.0,-0.862703126403662
60,Cali,Female,428.0,57,12,S3,12.0,0.5604620527480538
61,OR,Male,463.0,34,9,C2,10.0,-0.4270494412937478
62,NC,Male,300.0,86,8,R2,10.0,-0.911592595077264
63,IL,Female,399.0,85,8,T2,14.0,-0.7320964331956448
64,TX,Male,788.0,70,13,T1,20.0,0.1563699684407565
65,Cali,Male,780.0,44,15,S1,15.0,2.0625899232534546
66,Cali,Male,903.0,44,20,S1,20.0,1.9760327142297307
67,IL,Female,224.0,89,5,T3,10.0,-1.6365474683620869
68,Cali,Male,0.0,0,20,U4,25.0,-4.179469891894217
69,WA,U,383.0,52,7,C2,11.0,-0.14012046097809716
70,SD,Female,309.0,62,11,C2,10.0,-0.8796178721734655
71,AL,Female,250.0,64,7,C3,11.0,-0.9066246950430605
72,TN,Female,352.0,85,6,R2,16.0,-0.9520001071694866
73,Cali,Female,663.0,53,9,C1,10.0,1.3378720435035811
74,Cali,Female,497.0,53,8,S1,15.0,1.082194989763046
75,CO,Female,379.0,42,8,C2,7.0,0.014031561837437282
76,NM,Female,268.0,50,12,R2,14.0,-0.47772605905668103
77,Cali,Female,614.0,45,14,C2,25.0,1.8803844525868425
78,LA,Female,613.0,57,15,S1,20.0,0.05009672897019125
79,CO,Male,737.0,29,6,S1,10.0,0.38080425560837866
80,AZ,Male,215.0,23,5,R2,6.0,-0.7743008730132901
81,IL,Female,400.0,74,20,S2,25.0,0.171200886104598
82,IL,Female,680.0,75,9,C1,11.0,0.656817915101977
83,Cali,Female,564.0,47,15,C2,10.0,1.0340884875003724
84,TN,Male,410.0,56,5,T2,26.0,0.005910288211810698
85,Cali,Female,368.0,25,6,U2,10.0,1.1431370925464215
86,Cali,Male,1128.0,47,30,U1,38.0,2.7073668954632426
87,MO,Female,319.0,74,7,T2,15.0,-0.7675529997275335
88,MN,Male,781.0,63,14,S1,14.0,0.6624440613927993
89,AZ,Male,640.0,12,7,C1,9.0,1.1865982266216841
90,MO,Male,624.0,58,7,S1,10.0,0.23759016680550402
91,FL,Female,373.0,53,9,S2,15.0,-0.549345444778412
92,LA,Male,342.0,90,10,R2,14.0,-0.5845103466502366
93,NM,Female,324.0,26,5,T2,5.0,-0.26979745936698285
94,IA,Female,379.0,75,12,S2,15.0,-0.6805082572459644
95,MN,Male,316.0,86,10,R2,20.0,-0.5609745782327703
96,Cali,Male,609.0,55,13,S1,19.0,1.3245050110364407
97,SC,Male,376.0,15,10,S2,25.0,-0.4306137033596823
98,FL,Male,301.0,21,20,C3,20.0,-0.13863809689897938
99,IN,Male,290.0,70,5,T2,5.0,-0.6491784439248826
100,KY,Female,179.0,94,4,R3,5.0,-1.6232845878267999
101,KY,Female,279.0,82,6,R2,20.0,-0.891828010645109
102,Cali,Female,734.0,51,15,S2,30.0,1.5578928893405364
103,OK,Female,299.0,64,20,S1,20.0,-1.0586526952537085
104,CT,Female,517.0,71,28,T1,40.0,0.5245085230406995
105,NJ,U,464.0,61,6,S1,6.0,0.5898969853384096
106,Cali,Female,495.0,68,5,S2,6.0,-0.046467621539945596
107,FL,Male,326.0,7,10,U1,10.0,-0.14012046097809716
108,Cali,Male,520.0,53,10,C3,15.0,1.0647656974738187
109,TX,Female,394.0,75,10,S2,30.0,-0.4795676709161707
110,Cali,Female,591.0,49,7,U1,10.0,1.8574068150241914
111,NE,Female,273.0,68,2,R3,2.0,-1.8356447063727823
112,MI,Male,402.0,55,14,T2,20.0,-0.7320964331956448
113,AR,Female,468.0,21,17,C1,30.0,-0.04227171431380826
114,GA,Female,584.0,65,5,T2,5.0,0.034163588697090234
115,LA,Female,302.0,62,24,U2,20.0,-0.30723372453588427
116,MI,Male,400.0,27,12,R2,22.0,-0.4906648233427791
117,WA,Female,346.0,56,8,C3,11.0,-0.0049800489099860535
118,WA,U,406.0,34,10,S2,11.0,-0.34053115555510555
119,Cali,Male,847.0,48,10,S1,25.0,2.6515185199853852
120,Cali,Male,848.0,35,28,U1,47.0,2.8706920996469343
121,Cali,Female,781.0,44,11,S2,15.0,1.572862970341402
122,KS,Female,482.0,66,6,S2,11.0,-0.6868564628475866
123,Cali,Female,581.0,49,5,S1,7.0,0.95123845958398
124,Cali,Male,508.0,49,14,C2,10.0,0.5683573024397809
125,IL,Female,286.0,74,8,C3,20.0,-1.092390814773971
126,NC,Male,530.0,70,13,C1,25.0,0.09443835692569513
127,FL,Female,843.0,31,6,C1,10.0,2.0013067274019702
128,NC,Male,451.0,74,7,T2,23.0,-0.18066762584819804
129,IN,Male,428.0,74,7,T2,12.0,-0.18981858242608027
130,FL,Female,459.0,17,15,C1,10.0,0.04612760588498026
131,MN,Female,254.0,78,25,R3,25.0,-1.0642160710769861
132,Cali,Female,418.0,46,20,T2,20.0,-0.036693714376620876
133,AL,Female,300.0,86,4,R2,5.0,-0.9443317923244761
134,FL,Male,332.0,3,2,C1,3.0,1.7630818811920976
135,SD,Female,372.0,69,9,R2,5.0,-0.8039203125298692
136,MI,Male,404.0,80,17,U4,20.0,-1.2528838388044525
137,IN,Female,605.0,69,10,T1,15.0,0.3399395308318063
138,CA,Female,362.0,51,5,T2,7.0,0.25526405466577223
139,NC,Male,330.0,32,8,C2,13.0,0.06849642846866394
140,GA,Male,280.0,79,12,R2,15.0,-1.1838131073252165
141,MO,Female,555.0,49,25,C1,30.0,-0.13863809689897938
142,TX,Female,312.0,35,6,S2,10.0,-0.43597576902554663
143,IN,Male,601.0,58,7,C1,10.0,0.4100450759403703
144,CA,Female,543.0,44,8,C2,10.0,0.9195590140469551
145,IL,Male,1065.0,57,13,S1,30.0,2.7384766627562174
146,NV,Female,570.0,14,5,S1,6.0,0.29696658956190813
147,OK,Female,248.0,62,6,R3,8.0,-1.2496612124607327
148,CA,Female,823.0,46,40,S1,75.0,1.7283284821865768
149,CO,Female,541.0,32,8,U2,16.0,-0.8723433383083242
150,MO,Female,340.0,71,11,C3,25.0,-0.6225616021524494
151,FL,Male,335.0,22,7,U3,10.0,-0.4795676709161707
152,GA,Male,210.0,77,5,T3,10.0,-1.1625973789190076
153,ID,Male,566.0,50,13,C1,10.0,0.23047008742724787
154,CA,U,456.0,55,8,0,5.0,1.1700473503759365
155,GA,Male,441.0,70,4,T3,16.0,-0.38491360288848514
156,MI,Female,394.0,80,10,R2,23.0,-0.6932327382192155
157,CA,Female,318.0,49,8,R2,21.0,-0.42171860774598924
158,MN,Female,327.0,88,12,R2,15.0,-0.7430819672213929
159,CA,Female,376.0,21,7,U1,10.0,1.6748717156162236
160,FL,Male,313.0,6,4,T2,3.0,-0.05348462016273352
161,MN,Female,442.0,80,8,S1,10.0,-0.24902492579644436
162,MO,Female,347.0,79,2,C2,2.0,-0.5244565320172303
163,WI,U,444.0,71,7,S2,10.0,-0.46307341664608215
164,WI,U,447.0,85,13,S1,16.0,-0.1670382211587428
165,CA,Female,672.0,33,10,U1,20.0,1.7989193004561668
166,CA,Female,785.0,36,9,S1,10.0,2.7282707043737444
167,CA,Male,466.0,49,5,C2,6.0,0.5525328687054519
168,CO,Male,230.0,33,12,S2,10.0,-0.5263563887709554
169,FL,Female,438.0,19,13,R1,20.0,-0.010452081332219473
170,NE,Female,381.0,75,7,T2,10.0,-0.8131609192984958
171,IN,Male,407.0,86,4,R2,7.0,-0.49438211770067375
172,FL,Male,544.0,30,8,T1,5.0,0.3731446409636288
173,FL,Male,208.0,35,9,T2,10.0,-0.8796178721734655
174,IL,Female,744.0,45,7,U1,10.0,1.3083509671211282
175,NC,Male,433.0,84,9,R2,45.0,-0.32379356062865555
176,OR,Female,187.0,42,16,U4,20.0,-1.0096050775710552
177,CA,U,408.0,47,5,U3,4.0,0.7618372694220146
178,MI,Female,316.0,71,27,U4,30.0,-1.0895460081749477
179,CA,Female,566.0,62,6,C1,5.0,0.9752652901053307
180,IL,Female,423.0,84,17,S2,20.0,-0.21137641649841554
181,IL,Female,523.0,60,12,U1,15.0,0.6131129636053496
182,TX,Male,248.0,84,5,R3,12.0,-1.0149664708226138
183,IN,Female,331.0,60,19,R2,26.0,-0.5884696915094139
184,NC,Male,261.0,85,7,R2,10.0,-0.7103755897219355
185,CA,Male,850.0,36,12,C1,10.0,2.3076426508007044
186,IN,Male,425.0,60,16,T2,23.0,-0.17611163874334154
187,CO,Male,732.0,24,15,T1,21.0,0.6217447982343834
188,KY,Female,471.0,71,8,C2,10.0,-0.7320964331956448
189,IL,Female,385.0,92,6,R2,10.0,-0.49624421501967403
190,CA,Female,669.0,42,9,S1,20.0,1.37288826534658
191,CA,Male,651.0,51,10,S1,16.0,1.4557665540859936
192,FL,Female,427.0,22,3,U3,3.0,-0.34221486335642215
193,FL,Male,411.0,13,6,U2,8.0,-0.2348019988038995
194,CA,Female,805.0,55,15,U1,15.0,2.0081965511971616
195,NE,Female,353.0,75,5,T2,7.0,-0.8483673964863169
196,IN,Female,388.0,80,15,C2,20.0,-0.7103755897219355
197,IN,Male,373.0,67,13,S2,15.0,-0.3814539266195163
198,FL,Female,494.0,14,4,C1,3.0,0.31065030639933716
199,FL,Female,400.0,17,25,S2,25.0,0.015381270636560333
200,FL,Male,497.0,15,9,C1,20.0,0.48268346616829055
201,ID,Female,294.0,43,15,R2,10.0,-0.8247980511586112
202,CO,Female,302.0,60,5,C2,8.0,-0.4234934851335099
203,OK,Female,456.0,65,13,T2,11.0,-0.5320705031794757
204,TX,Female,379.0,50,11,C1,25.0,-0.714693474772199
205,FL,Male,295.0,68,10,S3,19.0,-1.033902792402554
206,TX,Male,377.0,86,9,R2,15.0,-0.8820512613457141
207,CA,Female,249.0,38,4,U3,8.0,0.608300155012953
208,TX,Male,256.0,84,40,R3,200.0,-1.3191413753892396
209,KY,Female,341.0,62,11,S2,10.0,-0.5435648326022793
210,IL,Female,348.0,72,8,U3,10.0,-0.6044143963655184
211,CA,Male,390.0,54,6,S3,7.0,-0.026977293929265116
212,CA,Male,358.0,37,12,S2,17.0,1.4469268594675704
213,CA,Female,503.0,41,39,U1,50.0,0.8940077628140497
214,CA,Female,428.0,49,10,0,10.0,0.3264816591304216
215,TX,Female,724.0,49,7,S1,13.0,0.5986370111008071
216,AL,U,472.0,73,14,T2,15.0,-0.3154916969372885
217,FL,Male,772.0,44,25,0,150.0,0.583070595854318
218,CA,Female,661.0,36,8,C1,15.0,1.480200216852649
219,CA,Female,537.0,47,6,U2,20.0,1.6346367396505423
220,TX,Female,402.0,86,9,C2,15.0,-0.6409367710242053
221,WA,U,232.0,55,7,T3,10.0,-0.3304670196876576
222,IL,Male,456.0,60,12,U3,15.0,-0.4005791665247548
223,CA,Female,654.0,41,7,U1,10.0,1.7020427990588074
224,CA,Female,679.0,61,9,T1,10.0,1.2784061641471245
225,TX,Female,825.0,31,6,S1,10.0,0.42182272588320646
226,WI,U,548.0,79,15,S1,20.0,-0.11656375565489917
227,WA,Female,472.0,46,10,T2,32.0,0.13262193814475245
228,AL,Female,398.0,77,7,S2,15.0,-0.594428727019965
229,MT,Male,358.0,37,4,R1,2.0,-0.30723372453588427
230,IL,Female,624.0,65,13,U1,20.0,0.7996628176143694
231,WA,Female,486.0,32,10,S2,21.0,-0.11218465935850515
232,GA,Female,434.0,22,9,C1,14.0,-0.5454892083742431
233,CA,Male,525.0,48,19,U2,20.0,0.9129970073299029
234,AL,Female,562.0,58,9,C2,10.0,-0.08328748629453397
235,OR,Male,170.0,36,4,C3,7.0,-1.1270201512072489
236,TX,Female,718.0,63,8,S1,10.0,0.5133807898900072
237,UT,Female,302.0,63,20,U2,20.0,-0.33549094828253617
238,IL,Female,474.0,69,20,U3,30.0,-0.586488690085465
239,FL,Male,616.0,35,4,C2,4.0,0.43564315144527044
240,TN,Female,310.0,55,13,R2,21.0,-0.7675529997275335
241,CA,Male,1085.0,42,20,S1,36.0,2.9630164163911803
242,AL,Female,453.0,77,7,C1,5.0,-0.4252704277857795
243,CA,Male,425.0,45,17,S2,20.0,0.9624873683785597
244,CA,Female,582.0,29,19,S1,10.0,0.947205388917348
245,CA,Male,918.0,47,9,S1,20.0,2.7003605473885193
246,CA,Male,454.0,32,6,U1,7.0,2.176879472520822
247,OK,Female,949.0,54,11,S1,12.0,0.682930353049961
248,WA,Female,416.0,57,10,S2,11.0,-0.30394270488663794
249,AZ,Male,516.0,34,8,T1,15.0,0.19442473379647945
250,TX,Male,303.0,75,6,C3,4.0,-1.2400424553314617
251,TX,Male,896.0,32,9,S1,20.0,1.0325422110603044
252,FL,Male,577.0,37,18,S1,20.0,0.5850235602368512
253,IA,Male,288.0,86,11,R3,15.0,-1.5759293636960066
254,MI,Male,349.0,42,17,C1,18.0,-0.48880961313053733
255,GA,Female,548.0,46,7,T1,8.0,0.0905723461338509
256,MI,Female,465.0,74,13,S1,25.0,-0.031134485301527865
257,NV,Female,548.0,26,53,S2,25.0,0.2992546037547833
258,HI,Female,581.0,52,13,S1,10.0,1.8579316297608763
259,TX,Male,320.0,82,12,T2,14.0,-0.8747639280769587
260,SD,Female,290.0,85,14,R3,20.0,-1.7536148661857047
261,FL,Female,371.0,26,7,T2,11.0,0.5315547918548775
262,CA,U,447.0,33,11,U1,19.0,1.9082702712266586
263,CA,Female,218.0,27,5,U4,5.0,0.6652508247263758
264,WA,U,470.0,63,18,T2,20.0,0.5415742053748915
265,MO,Male,611.0,77,2,S1,1.0,0.36765328929079955
266,IL,Female,278.0,64,10,R3,20.0,-1.6819141870355294
267,OR,Female,466.0,59,4,T2,5.0,-0.19748449561529732
268,TX,Male,219.0,72,4,0,5.0,-1.2084977950847426
269,OR,Female,309.0,18,10,T2,20.0,0.19442473379647945
270,AZ,Male,454.0,1,9,C2,9.0,-0.052078827444760105
271,CA,Female,363.0,39,4,C2,6.0,1.3365391729809233
272,LA,Male,325.0,87,9,T3,10.0,-0.40935182873983966
273,IN,Female,383.0,70,25,C2,20.0,-0.549345444778412
274,CA,Male,559.0,56,8,S1,5.0,1.7227618070438904
275,MO,Male,342.0,96,15,S3,21.0,-0.6144684247257568
276,FL,Male,459.0,47,7,T2,6.0,-0.14755272204351555
277,IL,Female,355.0,60,6,U3,11.0,-0.48880961313053733
278,IN,Female,347.0,62,8,R2,11.0,-0.8723433383083242
279,FL,Male,391.0,30,7,C2,10.0,-0.3188071451347322
280,CA,Female,725.0,39,6,U1,10.0,2.064988767490492
281,MI,Female,330.0,53,15,C3,15.0,-1.0421015551126793
282,SC,Female,498.0,63,9,T2,16.0,-0.3659807307868224
283,UT,Female,437.0,61,10,U1,12.0,-0.029747593821776587
284,California,Male,372.0,69,5,C2,25.0,0.8074863001132426
285,IN,Female,423.0,78,14,T2,26.0,-0.8388917657725647
286,TX,Female,381.0,85,22,S2,50.0,-0.5358921050074062
287,MI,Female,231.0,46,10,C3,12.0,-0.9165785822204294
288,IN,Female,403.0,84,12,T3,10.0,-0.6678949183600251
289,WI,U,422.0,68,15,S2,15.0,-0.3918563725669827
290,WI,Female,253.0,76,10,R3,20.0,-1.2241720743007354
291,OK,Male,517.0,63,13,C1,10.0,-0.45217625867863676
292,SC,Female,269.0,77,14,C3,10.0,-0.9726636737229536
293,TX,Female,327.0,63,5,S2,7.0,-0.32379356062865555
294,MI,Male,501.0,82,13,T2,15.0,0.31745255135898
295,AL,U,299.0,90,7,R3,10.0,-0.8201315782195088
296,CA,Male,621.0,59,6,U1,10.0,1.9123726181130354
297,IL,Male,472.0,64,4,C2,3.0,0.46505584130371325
298,CA,Female,240.0,39,6,S1,10.0,-0.3901177402139729
299,SC,Male,302.0,88,13,T2,24.0,-0.9520001071694866
300,CA,Female,338.0,43,13,U2,15.0,1.82622505698047
301,TX,Female,283.0,83,9,R3,12.0,-1.2691219901963235
302,CA,Female,337.0,32,20,U2,20.0,0.9088845626215998
303,FL,Male,309.0,16,17,C3,25.0,-0.46672328953925135
304,CA,Female,381.0,50,15,U2,30.0,0.07371678207116743
305,MO,Male,222.0,63,3,R3,3.0,-1.0366300964494808
306,AR,Male,256.0,57,9,R3,10.0,-1.0122830867194248
307,WI,Female,545.0,52,15,U1,21.0,0.019423860773233315
308,ND,Female,358.0,81,3,T2,3.0,-0.3780020018800287
309,NE,Female,280.0,81,6,R2,10.0,-1.4711256029405033
310,MI,Female,416.0,89,8,R2,15.0,-0.6205341092678468
311,WI,Female,318.0,82,13,C2,25.0,-0.8085330069199761
312,FL,Male,324.0,52,16,T2,20.0,-0.15501931913464834
313,KS,Female,376.0,57,10,R2,25.0,-0.38491360288848514
314,WI,Female,371.0,91,6,R3,17.0,-0.8224628679896924
315,OR,Male,426.0,34,9,T1,8.0,-0.1371570887715633
316,GA,Male,375.0,35,11,S2,20.0,-0.08758960516192005
317,MI,Female,286.0,63,8,U4,10.0,-1.6681114151354484
318,FL,Male,324.0,12,12,T2,10.0,-0.5590300505263865
319,CA,Male,660.0,59,10,T1,12.0,1.373543378000061
320,MI,Male,433.0,70,33,S3,50.0,-0.9804947175069362
321,TX,Female,935.0,36,5,U4,5.0,0.810953218843835
322,NC,Male,481.0,67,14,T2,20.0,0.2587774495315954
323,IL,Female,457.0,82,18,S2,10.0,-0.009082382464239293
324,IL,Female,275.0,78,9,T2,10.0,-1.1124794431370166
325,TX,Male,378.0,76,11,R2,10.0,-0.317148541060954
326,NC,U,315.0,94,6,R3,10.0,-0.9190784064116148
327,TX,Female,527.0,57,9,S1,14.0,-0.04087544650473063
328,CA,Male,272.0,57,11,T3,16.0,-0.4323989632190629
329,KS,Female,288.0,41,12,T1,20.0,-0.8507464268764371
330,WI,Female,158.0,67,15,C3,15.0,-1.0475956612736832
331,California,Female,521.0,80,8,T2,5.0,0.8664354893683416
332,NE,Female,449.0,58,6,S2,5.0,-0.38318279328594174
333,SC,Female,741.0,26,9,S1,15.0,0.5703258520460157
334,California,U,606.0,46,20,U1,20.0,2.116211467163105
335,FL,Female,807.0,4,12,C1,21.0,1.0224621150611162
336,California,Female,351.0,57,5,T1,7.0,0.6436242188238515
337,MI,Male,373.0,89,8,T2,10.0,-0.5884696915094139
338,California,Male,1217.0,41,38,S1,50.0,2.9766542288613542
339,CO,Male,606.0,46,12,S1,16.0,0.563426729932433
340,FL,Male,640.0,9,3,S2,5.0,0.9680878758873248
341,FL,Female,280.0,39,13,C2,15.0,-0.598414860752015
342,SC,Female,533.0,40,7,S1,10.0,0.1212565745661095
343,TN,Female,432.0,61,8,S2,16.0,-0.2762444041624213
344,MS,Male,244.0,91,8,R3,20.0,-1.0475956612736832
345,GA,Female,508.0,51,11,S2,15.0,-0.1715685319374493
346,California,Female,350.0,36,13,U3,15.0,0.9269151178421
347,KY,Female,450.0,82,6,R2,5.0,-0.4395609944802861
348,WA,Female,416.0,34,8,T2,10.0,-0.3388492701563192
349,California,Female,470.0,46,15,S2,5.0,0.5996055897999784
350,NV,Female,361.0,6,10,S1,10.0,0.701362915539698
351,TX,Female,302.0,70,4,R2,7.0,-0.6762915733790563
352,California,Female,307.0,40,9,T2,15.0,0.3185837155478223
353,WA,U,354.0,56,16,R2,25.0,-0.6911041764266302
354,California,Male,745.0,46,14,T1,25.0,1.6427429012272774
355,California,Female,517.0,53,11,R1,15.0,0.6615075406337227
356,NC,U,341.0,87,8,R3,10.0,-0.8412546318230978
357,IN,Female,364.0,39,12,R2,12.0,-0.8412546318230978
358,ID,Male,366.0,32,18,T2,25.0,-0.41463963984944424
359,FL,Female,506.0,25,15,S1,26.0,0.08281373380455122
360,MN,U,304.0,86,3,S2,5.0,-1.2988919257125637
361,FL,Male,507.0,30,50,C1,25.0,-0.31218327122925493
362,California,Female,402.0,50,23,C2,23.0,0.9560672768615482
363,WA,U,0.0,0,5,S1,6.0,-4.179469891894217
364,California,Female,677.0,14,9,S1,10.0,1.5906919306166516
365,California,Female,351.0,43,30,S3,50.0,0.6838562712101309
366,California,Female,391.0,51,19,C2,25.0,0.6745765435258998
367,TX,U,364.0,73,37,R2,10.0,-0.5037157603128375
368,IL,Female,533.0,82,7,S1,10.0,0.30153964818346896
369,TX,Female,294.0,49,12,C2,10.0,-0.8531295386003706
370,NE,Female,477.0,47,15,S1,15.0,-0.36769233622574
371,California,Female,362.0,36,24,U3,47.0,0.9648895302971375
372,TX,Male,263.0,81,18,R3,26.0,-1.498434837025223
373,MI,Male,274.0,65,5,R3,9.0,-1.3748228539195904
374,California,Male,620.0,57,9,T1,10.0,1.2417532084507845
375,WI,U,801.0,67,11,S1,14.0,0.5889233247650655
376,TN,Male,244.0,79,8,R2,10.0,-0.9417852772587388
377,California,Female,746.0,51,12,S1,25.0,1.7565038326992302
378,FL,Male,488.0,4,7,C1,10.0,0.5928149037010441
379,NC,U,335.0,81,5,R2,12.0,-0.40408221016237184
380,California,Male,1191.0,52,15,S1,15.0,2.9206547782867247
381,California,Female,444.0,28,11,U1,21.0,1.2514983771602364
382,MI,U,619.0,64,3,S1,5.0,0.24350139632588116
383,TX,Female,354.0,76,10,R2,10.0,-0.23637604126057365
384,California,Female,491.0,49,15,U1,20.0,1.6777176886960885
385,California,Female,401.0,40,16,U1,15.0,1.9149328436702737
386,MN,Male,569.0,58,7,C1,10.0,0.05800696086219617
387,California,Female,427.0,43,8,U2,15.0,1.088222134731186
388,MT,U,323.0,56,13,C2,22.0,-0.6044143963655184
389,MO,Male,376.0,78,16,S2,32.0,-0.3304670196876576
390,FL,Male,551.0,8,15,T1,15.0,0.4345837948990466
391,TX,Female,461.0,56,7,S1,5.0,-0.241107556450314
392,California,Female,254.0,59,8,T2,20.0,-0.40935182873983966
393,NE,Male,411.0,57,10,S2,15.0,-0.549345444778412
394,California,U,512.0,39,20,S1,8.0,1.0844572831537085
395,California,Male,385.0,48,7,S2,8.0,0.3927748604533181
396,FL,Female,278.0,44,7,S2,7.0,-0.5924397016050645
397,AZ,Male,403.0,37,7,S2,10.0,-0.357451005669638
398,AL,U,375.0,59,16,T2,22.0,-0.5474160765957039
399,MI,Male,490.0,19,12,S1,15.0,-0.3523556391358359
400,California,Female,344.0,67,6,C2,6.0,0.08669748748700921
401,California,Female,382.0,42,5,C2,6.0,0.6483469258049152
402,California,U,1119.0,35,21,S1,20.0,2.8964778055931006
403,California,Female,319.0,56,12,C2,10.0,0.7847976428238197
404,MI,Female,303.0,81,20,T2,20.0,-1.0642160710769861
405,TX,Male,203.0,67,5,C3,11.0,-0.9341742110571442
406,TN,Female,539.0,47,9,T2,15.0,-0.07187011520822334
407,FL,Male,385.0,22,16,C2,22.0,-0.22539035056936296
408,MI,Male,323.0,86,12,T1,13.0,-0.8085330069199761
409,IN,Male,422.0,76,8,C2,10.0,-0.7475000106525315
410,MN,Female,309.0,81,5,R2,5.0,-0.9367065071742326
411,MO,Female,299.0,71,6,T2,10.0,-0.8062247647425406
412,OR,Male,463.0,38,8,C1,10.0,-0.1595159126507622
413,NC,Male,282.0,38,7,T2,10.0,-0.6953644510592824
414,IL,Female,585.0,65,12,S2,20.0,0.14015700591434
415,IL,Female,437.0,90,6,S2,10.0,-0.057709215342130006
416,California,Male,678.0,54,8,U1,15.0,1.5989623934096813
417,California,Female,781.0,50,16,C1,25.0,1.8437187207804784
418,California,Male,222.0,46,5,C2,10.0,0.011328863809436988
419,IA,Female,326.0,76,10,C2,15.0,-0.6533168573520618
420,IL,Female,664.0,67,10,U1,14.0,0.9903326872336901
421,California,Female,279.0,38,9,C3,11.0,-0.43776732641974864
422,FL,Male,342.0,11,14,S2,10.0,-0.31053168103105677
423,MS,U,280.0,63,7,0,8.0,-0.8507464268764371
424,OR,Male,428.0,42,25,S2,30.0,-0.6471136459346988
425,WA,Female,481.0,31,8,S2,10.0,-0.06477440818245657
426,California,Male,396.0,68,10,T2,15.0,0.31292063524831254
427,California,Female,583.0,55,13,R1,20.0,2.1809908199581183
428,FL,Female,532.0,26,8,S1,10.0,-0.0049800489099860535
429,NY,Female,330.0,68,5,S2,5.0,-0.46672328953925135
